chromosome	coordinate	coverage
ENA|K03455|K03455.1	1	10
ENA|K03455|K03455.1	2	16
ENA|K03455|K03455.1	3	17
ENA|K03455|K03455.1	4	17
ENA|K03455|K03455.1	5	17
ENA|K03455|K03455.1	6	22
ENA|K03455|K03455.1	7	65
ENA|K03455|K03455.1	8	73
ENA|K03455|K03455.1	9	73
ENA|K03455|K03455.1	10	73
ENA|K03455|K03455.1	11	78
ENA|K03455|K03455.1	12	78
ENA|K03455|K03455.1	13	79
ENA|K03455|K03455.1	14	79
ENA|K03455|K03455.1	15	79
ENA|K03455|K03455.1	16	79
ENA|K03455|K03455.1	17	162
ENA|K03455|K03455.1	18	162
ENA|K03455|K03455.1	19	249
ENA|K03455|K03455.1	20	249
ENA|K03455|K03455.1	21	258
ENA|K03455|K03455.1	22	258
ENA|K03455|K03455.1	23	258
ENA|K03455|K03455.1	24	258
ENA|K03455|K03455.1	25	260
ENA|K03455|K03455.1	26	417
ENA|K03455|K03455.1	27	424
ENA|K03455|K03455.1	28	427
ENA|K03455|K03455.1	29	428
ENA|K03455|K03455.1	30	436
ENA|K03455|K03455.1	31	439
ENA|K03455|K03455.1	32	453
ENA|K03455|K03455.1	33	456
ENA|K03455|K03455.1	34	457
ENA|K03455|K03455.1	35	457
ENA|K03455|K03455.1	36	465
ENA|K03455|K03455.1	37	522
ENA|K03455|K03455.1	38	523
ENA|K03455|K03455.1	39	525
ENA|K03455|K03455.1	40	526
ENA|K03455|K03455.1	41	528
ENA|K03455|K03455.1	42	532
ENA|K03455|K03455.1	43	543
ENA|K03455|K03455.1	44	547
ENA|K03455|K03455.1	45	551
ENA|K03455|K03455.1	46	551
ENA|K03455|K03455.1	47	669
ENA|K03455|K03455.1	48	669
ENA|K03455|K03455.1	49	671
ENA|K03455|K03455.1	50	684
ENA|K03455|K03455.1	51	692
ENA|K03455|K03455.1	52	692
ENA|K03455|K03455.1	53	704
ENA|K03455|K03455.1	54	704
ENA|K03455|K03455.1	55	733
ENA|K03455|K03455.1	56	735
ENA|K03455|K03455.1	57	730
ENA|K03455|K03455.1	58	731
ENA|K03455|K03455.1	59	739
ENA|K03455|K03455.1	60	744
ENA|K03455|K03455.1	61	754
ENA|K03455|K03455.1	62	754
ENA|K03455|K03455.1	63	758
ENA|K03455|K03455.1	64	757
ENA|K03455|K03455.1	65	760
ENA|K03455|K03455.1	66	808
ENA|K03455|K03455.1	67	827
ENA|K03455|K03455.1	68	831
ENA|K03455|K03455.1	69	831
ENA|K03455|K03455.1	70	833
ENA|K03455|K03455.1	71	840
ENA|K03455|K03455.1	72	843
ENA|K03455|K03455.1	73	898
ENA|K03455|K03455.1	74	898
ENA|K03455|K03455.1	75	894
ENA|K03455|K03455.1	76	894
ENA|K03455|K03455.1	77	894
ENA|K03455|K03455.1	78	908
ENA|K03455|K03455.1	79	909
ENA|K03455|K03455.1	80	908
ENA|K03455|K03455.1	81	910
ENA|K03455|K03455.1	82	908
ENA|K03455|K03455.1	83	908
ENA|K03455|K03455.1	84	910
ENA|K03455|K03455.1	85	911
ENA|K03455|K03455.1	86	931
ENA|K03455|K03455.1	87	932
ENA|K03455|K03455.1	88	950
ENA|K03455|K03455.1	89	971
ENA|K03455|K03455.1	90	971
ENA|K03455|K03455.1	91	982
ENA|K03455|K03455.1	92	982
ENA|K03455|K03455.1	93	982
ENA|K03455|K03455.1	94	999
ENA|K03455|K03455.1	95	992
ENA|K03455|K03455.1	96	998
ENA|K03455|K03455.1	97	996
ENA|K03455|K03455.1	98	991
ENA|K03455|K03455.1	99	994
ENA|K03455|K03455.1	100	1000
ENA|K03455|K03455.1	101	998
ENA|K03455|K03455.1	102	1001
ENA|K03455|K03455.1	103	1005
ENA|K03455|K03455.1	104	1009
ENA|K03455|K03455.1	105	1067
ENA|K03455|K03455.1	106	1070
ENA|K03455|K03455.1	107	1069
ENA|K03455|K03455.1	108	1071
ENA|K03455|K03455.1	109	1046
ENA|K03455|K03455.1	110	1048
ENA|K03455|K03455.1	111	1051
ENA|K03455|K03455.1	112	1084
ENA|K03455|K03455.1	113	1084
ENA|K03455|K03455.1	114	1077
ENA|K03455|K03455.1	115	1075
ENA|K03455|K03455.1	116	1075
ENA|K03455|K03455.1	117	1096
ENA|K03455|K03455.1	118	1096
ENA|K03455|K03455.1	119	1093
ENA|K03455|K03455.1	120	1093
ENA|K03455|K03455.1	121	1085
ENA|K03455|K03455.1	122	1088
ENA|K03455|K03455.1	123	1088
ENA|K03455|K03455.1	124	1099
ENA|K03455|K03455.1	125	1098
ENA|K03455|K03455.1	126	1094
ENA|K03455|K03455.1	127	1094
ENA|K03455|K03455.1	128	1094
ENA|K03455|K03455.1	129	1095
ENA|K03455|K03455.1	130	1095
ENA|K03455|K03455.1	131	1091
ENA|K03455|K03455.1	132	1091
ENA|K03455|K03455.1	133	1084
ENA|K03455|K03455.1	134	1092
ENA|K03455|K03455.1	135	1089
ENA|K03455|K03455.1	136	1090
ENA|K03455|K03455.1	137	1090
ENA|K03455|K03455.1	138	1089
ENA|K03455|K03455.1	139	1089
ENA|K03455|K03455.1	140	1089
ENA|K03455|K03455.1	141	1089
ENA|K03455|K03455.1	142	1091
ENA|K03455|K03455.1	143	1083
ENA|K03455|K03455.1	144	1044
ENA|K03455|K03455.1	145	1035
ENA|K03455|K03455.1	146	1033
ENA|K03455|K03455.1	147	1033
ENA|K03455|K03455.1	148	1033
ENA|K03455|K03455.1	149	1033
ENA|K03455|K03455.1	150	1032
ENA|K03455|K03455.1	151	1012
ENA|K03455|K03455.1	152	1008
ENA|K03455|K03455.1	153	1004
ENA|K03455|K03455.1	154	1002
ENA|K03455|K03455.1	155	998
ENA|K03455|K03455.1	156	997
ENA|K03455|K03455.1	157	994
ENA|K03455|K03455.1	158	994
ENA|K03455|K03455.1	159	993
ENA|K03455|K03455.1	160	992
ENA|K03455|K03455.1	161	992
ENA|K03455|K03455.1	162	992
ENA|K03455|K03455.1	163	988
ENA|K03455|K03455.1	164	728
ENA|K03455|K03455.1	165	725
ENA|K03455|K03455.1	166	726
ENA|K03455|K03455.1	167	724
ENA|K03455|K03455.1	168	724
ENA|K03455|K03455.1	169	725
ENA|K03455|K03455.1	170	713
ENA|K03455|K03455.1	171	712
ENA|K03455|K03455.1	172	710
ENA|K03455|K03455.1	173	670
ENA|K03455|K03455.1	174	671
ENA|K03455|K03455.1	175	663
ENA|K03455|K03455.1	176	662
ENA|K03455|K03455.1	177	661
ENA|K03455|K03455.1	178	661
ENA|K03455|K03455.1	179	669
ENA|K03455|K03455.1	180	670
ENA|K03455|K03455.1	181	674
ENA|K03455|K03455.1	182	668
ENA|K03455|K03455.1	183	671
ENA|K03455|K03455.1	184	684
ENA|K03455|K03455.1	185	719
ENA|K03455|K03455.1	186	727
ENA|K03455|K03455.1	187	735
ENA|K03455|K03455.1	188	737
ENA|K03455|K03455.1	189	741
ENA|K03455|K03455.1	190	737
ENA|K03455|K03455.1	191	760
ENA|K03455|K03455.1	192	762
ENA|K03455|K03455.1	193	775
ENA|K03455|K03455.1	194	786
ENA|K03455|K03455.1	195	786
ENA|K03455|K03455.1	196	786
ENA|K03455|K03455.1	197	788
ENA|K03455|K03455.1	198	794
ENA|K03455|K03455.1	199	804
ENA|K03455|K03455.1	200	806
ENA|K03455|K03455.1	201	816
ENA|K03455|K03455.1	202	824
ENA|K03455|K03455.1	203	837
ENA|K03455|K03455.1	204	837
ENA|K03455|K03455.1	205	837
ENA|K03455|K03455.1	206	837
ENA|K03455|K03455.1	207	837
ENA|K03455|K03455.1	208	837
ENA|K03455|K03455.1	209	938
ENA|K03455|K03455.1	210	952
ENA|K03455|K03455.1	211	1001
ENA|K03455|K03455.1	212	1002
ENA|K03455|K03455.1	213	1005
ENA|K03455|K03455.1	214	1007
ENA|K03455|K03455.1	215	1008
ENA|K03455|K03455.1	216	1027
ENA|K03455|K03455.1	217	1027
ENA|K03455|K03455.1	218	1025
ENA|K03455|K03455.1	219	1031
ENA|K03455|K03455.1	220	1021
ENA|K03455|K03455.1	221	1042
ENA|K03455|K03455.1	222	1042
ENA|K03455|K03455.1	223	1044
ENA|K03455|K03455.1	224	1042
ENA|K03455|K03455.1	225	1042
ENA|K03455|K03455.1	226	1043
ENA|K03455|K03455.1	227	1043
ENA|K03455|K03455.1	228	1043
ENA|K03455|K03455.1	229	1043
ENA|K03455|K03455.1	230	1043
ENA|K03455|K03455.1	231	1043
ENA|K03455|K03455.1	232	1043
ENA|K03455|K03455.1	233	1044
ENA|K03455|K03455.1	234	1043
ENA|K03455|K03455.1	235	1031
ENA|K03455|K03455.1	236	1030
ENA|K03455|K03455.1	237	1030
ENA|K03455|K03455.1	238	1037
ENA|K03455|K03455.1	239	1036
ENA|K03455|K03455.1	240	1038
ENA|K03455|K03455.1	241	1039
ENA|K03455|K03455.1	242	1043
ENA|K03455|K03455.1	243	1043
ENA|K03455|K03455.1	244	1042
ENA|K03455|K03455.1	245	1018
ENA|K03455|K03455.1	246	1021
ENA|K03455|K03455.1	247	1021
ENA|K03455|K03455.1	248	1019
ENA|K03455|K03455.1	249	1022
ENA|K03455|K03455.1	250	1001
ENA|K03455|K03455.1	251	1006
ENA|K03455|K03455.1	252	980
ENA|K03455|K03455.1	253	979
ENA|K03455|K03455.1	254	971
ENA|K03455|K03455.1	255	971
ENA|K03455|K03455.1	256	966
ENA|K03455|K03455.1	257	967
ENA|K03455|K03455.1	258	964
ENA|K03455|K03455.1	259	963
ENA|K03455|K03455.1	260	962
